,comment,off
2908,فنانين الكبت والفساد .عقلية جنسية لا غير. العفن وليس الفن. شعب فيه اغلبية مستعدة للجنس وعندها قابلية .,1
1055,الدعارة هربت منها في المحمدية و سكنت في بوزنيقة و هي بحال بحال موجودة في كل المدن و السبب ملكنا زامل و الناس فقراء بالزاف,1
181,كون غير خريتي و مدرتيش هادشي,1
4313,لا حول ولا قوة الا بالله العلي العظيم لا حول ولا قوة الا بالله العلي العظيم. استغفرالله العظيم واتوب اليه. مساكن الوالدين هما اللي في الواجهة. شعب لا يرحم,0
228,الله يرحم الوالدين عندي مشكل كبيييير و محتاجة الدعاء ديالكم فقط 40 دعوة مستجابة انشاء الله دعيو معايا ربي يفرجها عليا عاجلا يا رب و الله يفرجها على جميع المسلمين يا ربي جزاكم الله الف خير 🤲🤲🤲🤲🤲🤲,0
4245,اش هدا المنكر ولينا نشوفو آش هد الصحافة اللهم لا شماته راه كلنا عندنا مشاكل الله لعالم بينا ولكن خاص الايمان بالله يكون قوي استغفر الله العظيم ياربي رد بها وبنا,1
6415,الله يلقيها ليه,1
5643,السلام عليكم  أختكم يالله فتحت قناة تعاون بها الى جات على خاطركم تشتاركو عندي الله يجازيكم  كل خير,0
536,هنا نوع آخر من البشر زوامل الشوهه,1
4237,قسما بالله إما عندك علاش تحشمي. يا الله أهدي عبادك.,1
1604,هاد الشي لي كديري ماشي روتيني راه اسمو وريتيني ..لمسخ والشوهة لا زين لا مجي بكري الله ينعل لي مايحشم بقا ليك غير تصوري في المرحاض كدوشي والمخرج ديال راجلك كيصور اتفو عليكم,1
3160,التمنيكولوجيا بأم عينيها فالمغرب يا زبي ههههههه,1
6607,"كل تشجيع لك صديقتي""",0
5227,عند12 عام عجباتتتتتني الأغنية عزيزة علية. تراكس 😘😘😘😘😘😘😘😘😘😘😘😘😘😍,0
5632,غالبا والله اعلم هديك المسخة لكتقول امها مربياها حاشة واش تكون ام حقيقية الله يبن الحق يارب في الظالم,1
6798,يارب.تشوف.حال.هدي.البنت.باش.مبقاش.في هدا الحال. وربي. تقبل. التوب. متخافيش. رب. معاك. اختي.,0
7855,#لخوت رجع معاها لواجب الوطني,0
2966,"ثالثا كل المغربيات حتى الموظفات كيعرفو يجفو ويطيبو بلا ما يعصرو ترمتهم امام ملاييين الرجااال """,1
